ENTREZID	SYMBOL
4599	MX1
3437	IFIT3
3434	IFIT1
3553	IL1B
54739	XAF1
10346	TRIM22
51191	HERC5
25780	RASGRP3
282618	IFNL1
115361	GBP4
2633	GBP1
11010	GLIPR1
116071	BATF2
3433	IFIT2
8743	TNFSF10
93349	SP140L
3918	LAMC2
118429	ANTXR2
8638	OASL
3383	ICAM1
6424	SFRP4
10561	IFI44
80830	APOL6
467	ATF3
64866	CDCP1
4939	OAS2
27074	LAMP3
9201	DCLK1
84166	NLRC5
23586	RIGI
1958	EGR1
6781	STC1
9945	GFPT2
8542	APOL1
8614	STC2
26353	HSPB8
1839	HBEGF
3099	HK2
326624	RAB37
3569	IL6
1368	CPM
2635	GBP3
55008	HERC6
4600	MX2
283455	KSR2
91543	RSAD2
2919	CXCL1
3552	IL1A
10966	RAB40B
5909	RAP1GAP
58510	PRODH2
5328	PLAU
312	ANXA13
3786	KCNQ3
79132	DHX58
2920	CXCL2
350	APOH
27033	ZBTB32
9021	SOCS3
6648	SOD2
1604	CD55
4084	MXD1
374897	SBSN
257629	ANKS4B
1644	DDC
85441	HELZ2
10391	CORO2B
5997	RGS2
2261	FGFR3
115362	GBP5
3269	HRH1
79853	TM4SF20
3604	TNFRSF9
147372	CCBE1
4133	MAP2
6385	SDC4
3428	IFI16
4824	NKX3-1
6373	CXCL11
10739	RFPL2
6773	STAT2
652995	UCA1
1870	E2F2
9473	THEMIS2
6672	SP100
57715	SEMA4G
330	BIRC3
8974	P4HA2
3038	HAS3
100287314	LINC00941
57537	SORCS2
283460	HNF1A-AS1
10964	IFI44L
3659	IRF1
50515	CHST11
154064	RAET1L
338442	HCAR2
116496	NIBAN1
4318	MMP9
29126	CD274
1520	CTSS
10814	CPLX2
10673	TNFSF13B
2710	GK
1435	CSF1
51312	SLC25A37
129607	CMPK2
55118	CRTAC1
5271	SERPINB8
3456	IFNB1
219285	SAMD9L
131583	FAM43A
202	CRYBG1
6347	CCL2
5329	PLAUR
5794	PTPRH
80833	APOL3
55117	SLC6A15
25822	DNAJB5
22801	ITGA11
9435	CHST2
6482	ST3GAL1
79931	TNIP3
3592	IL12A
1305	COL13A1
718	C3
272	AMPD3
91156	IGFN1
51056	LAP3
59269	HIVEP3
4319	MMP10
8857	FCGBP
360	AQP3
58476	TP53INP2
1001	CDH3
257407	C2orf72
54210	TREM1
2152	F3
3484	IGFBP1
6289	SAA2
3620	IDO1
64135	IFIH1
3851	KRT4
85004	RERG
4938	OAS1
83716	CRISPLD2
54625	PARP14
2354	FOSB
27	ABL2
